class,model,run,eo_test_count,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score,mvn_pit_status
BaseSettings,ocra,run_01,4,100,26.67,26.67,TRUE
BaseSettings,ocra,run_02,1,60.87,13.33,22.22,TRUE
BaseSettings,ocra,run_03,2,95.65,20,20,TRUE
BaseSettings,mpt,run_01,3,91.3,13.33,13.33,TRUE
BaseSettings,mpt,run_02,3,95.65,13.33,13.33,TRUE
BaseSettings,mpt,run_03,2,91.3,13.33,13.33,TRUE
BaseSettings,nous,run_01,3,95.65,33.33,33.33,TRUE
BaseSettings,nous,run_02,5,100,40,40,TRUE
BaseSettings,nous,run_03,4,100,40,40,TRUE
BaseSettings,vicuna,run_01,0,0,0,0,FALSE
BaseSettings,vicuna,run_02,0,0,0,0,FALSE
BaseSettings,vicuna,run_03,0,0,0,0,FALSE
BaseSettings,wizlm,run_01,1,65.22,6.67,10,TRUE
BaseSettings,wizlm,run_02,0,0,0,0,FALSE
BaseSettings,wizlm,run_03,0,0,0,0,FALSE
CacheHandler,ocra,run_01,1,45.45,0,0,TRUE
CacheHandler,ocra,run_02,2,39.39,0,0,TRUE
CacheHandler,ocra,run_03,1,30.3,0,0,TRUE
CacheHandler,mpt,run_01,3,0,0,0,FALSE
CacheHandler,mpt,run_02,7,0,0,0,FALSE
CacheHandler,mpt,run_03,7,0,0,0,FALSE
CacheHandler,nous,run_01,4,48.48,0,0,TRUE
CacheHandler,nous,run_02,5,48.48,0,0,TRUE
CacheHandler,nous,run_03,4,39.39,0,0,TRUE
CacheHandler,vicuna,run_01,9,0,0,0,FALSE
CacheHandler,vicuna,run_02,9,0,0,0,FALSE
CacheHandler,vicuna,run_03,8,0,0,0,FALSE
CacheHandler,wizlm,run_01,2,48.48,0,0,TRUE
CacheHandler,wizlm,run_02,1,24.24,0,0,TRUE
CacheHandler,wizlm,run_03,0,0,0,0,FALSE
NodeInstaller,ocra,run_01,1,34.81,34.48,86.96,TRUE
NodeInstaller,ocra,run_02,0,0,0,0,FALSE
NodeInstaller,ocra,run_03,1,7.73,1.72,33.33,TRUE
NodeInstaller,mpt,run_01,0,0,0,0,FALSE
NodeInstaller,mpt,run_02,2,42.54,46.55,96.43,TRUE
NodeInstaller,mpt,run_03,1,35.36,36.21,91.3,TRUE
NodeInstaller,nous,run_01,2,39.78,44.83,100,TRUE
NodeInstaller,nous,run_02,2,40.88,46.55,100,TRUE
NodeInstaller,nous,run_03,3,40.88,46.55,100,TRUE
NodeInstaller,vicuna,run_01,0,0,0,0,FALSE
NodeInstaller,vicuna,run_02,0,0,0,0,FALSE
NodeInstaller,vicuna,run_03,0,0,0,0,FALSE
NodeInstaller,wizlm,run_01,1,0.55,0,0,TRUE
NodeInstaller,wizlm,run_02,1,0.55,0,0,TRUE
NodeInstaller,wizlm,run_03,2,34.81,36.21,91.3,TRUE
NPMInstaller,ocra,run_01,1,6.14,0,0,TRUE
NPMInstaller,ocra,run_02,0,0,0,0,FALSE
NPMInstaller,ocra,run_03,0,0,0,0,FALSE
NPMInstaller,mpt,run_01,1,6.14,0,0,TRUE
NPMInstaller,mpt,run_02,1,6.14,0,0,TRUE
NPMInstaller,mpt,run_03,1,6.14,0,0,TRUE
NPMInstaller,nous,run_01,0,0,0,0,FALSE
NPMInstaller,nous,run_02,1,13.16,9.09,100,TRUE
NPMInstaller,nous,run_03,1,44.74,27.27,57.14,TRUE
NPMInstaller,vicuna,run_01,1,6.14,0,0,TRUE
NPMInstaller,vicuna,run_02,1,6.14,0,0,TRUE
NPMInstaller,vicuna,run_03,1,6.14,0,0,TRUE
NPMInstaller,wizlm,run_01,1,6.14,0,0,TRUE
NPMInstaller,wizlm,run_02,1,6.14,0,0,TRUE
NPMInstaller,wizlm,run_03,1,6.14,0,0,TRUE
Parallel,ocra,run_01,0,0,0,0,FALSE
Parallel,ocra,run_02,0,0,0,0,FALSE
Parallel,ocra,run_03,0,0,0,0,FALSE
Parallel,mpt,run_01,0,0,0,0,FALSE
Parallel,mpt,run_02,1,63.41,23.08,26.09,TRUE
Parallel,mpt,run_03,0,0,0,0,FALSE
Parallel,nous,run_01,4,100,50,50,TRUE
Parallel,nous,run_02,4,82.93,80.77,87.5,TRUE
Parallel,nous,run_03,4,100,50,50,TRUE
Parallel,vicuna,run_01,2,82.93,38.46,41.67,TRUE
Parallel,vicuna,run_02,1,68.29,23.08,26.09,TRUE
Parallel,vicuna,run_03,2,97.56,38.46,38.46,TRUE
Parallel,wizlm,run_01,3,75.61,42.31,47.83,TRUE
Parallel,wizlm,run_02,3,100,61.54,61.54,TRUE
Parallel,wizlm,run_03,2,82.93,50,54.17,TRUE
PnpmInstaller,ocra,run_01,2,16.1,0,0,TRUE
PnpmInstaller,ocra,run_02,2,16.1,0,0,TRUE
PnpmInstaller,ocra,run_03,1,0.85,0,0,TRUE
PnpmInstaller,mpt,run_01,2,40.68,26.83,68.75,TRUE
PnpmInstaller,mpt,run_02,1,0.85,0,0,TRUE
PnpmInstaller,mpt,run_03,2,16.1,0,0,TRUE
PnpmInstaller,nous,run_01,1,38.98,21.95,60,TRUE
PnpmInstaller,nous,run_02,1,38.98,21.95,60,TRUE
PnpmInstaller,nous,run_03,0,0,0,0,FALSE
PnpmInstaller,vicuna,run_01,1,0.85,0,0,TRUE
PnpmInstaller,vicuna,run_02,2,9.32,4.88,100,TRUE
PnpmInstaller,vicuna,run_03,1,0.85,0,0,TRUE
PnpmInstaller,wizlm,run_01,0,0,0,0,FALSE
PnpmInstaller,wizlm,run_02,1,18.64,4.88,40,TRUE
PnpmInstaller,wizlm,run_03,1,11.86,7.32,75,TRUE
PropertiesProviderUtils,ocra,run_01,1,25,6.67,33.33,TRUE
PropertiesProviderUtils,ocra,run_02,3,25,6.67,33.33,TRUE
PropertiesProviderUtils,ocra,run_03,1,25,6.67,33.33,TRUE
PropertiesProviderUtils,mpt,run_01,5,28.57,13.33,50,TRUE
PropertiesProviderUtils,mpt,run_02,3,28.57,13.33,50,TRUE
PropertiesProviderUtils,mpt,run_03,2,57.14,20,50,TRUE
PropertiesProviderUtils,nous,run_01,1,7.14,0,0,TRUE
PropertiesProviderUtils,nous,run_02,3,57.14,20,50,TRUE
PropertiesProviderUtils,nous,run_03,2,57.14,13.33,33.33,TRUE
PropertiesProviderUtils,vicuna,run_01,0,0,0,0,FALSE
PropertiesProviderUtils,vicuna,run_02,0,0,0,0,FALSE
PropertiesProviderUtils,vicuna,run_03,0,0,0,0,FALSE
PropertiesProviderUtils,wizlm,run_01,5,57.14,6.67,16.67,TRUE
PropertiesProviderUtils,wizlm,run_02,4,28.57,6.67,25,TRUE
PropertiesProviderUtils,wizlm,run_03,5,57.14,13.33,33.33,TRUE
ResolutionCache,ocra,run_01,1,18.92,0,0,TRUE
ResolutionCache,ocra,run_02,0,0,0,0,FALSE
ResolutionCache,ocra,run_03,0,0,0,0,FALSE
ResolutionCache,mpt,run_01,1,18.92,0,0,TRUE
ResolutionCache,mpt,run_02,1,18.92,0,0,TRUE
ResolutionCache,mpt,run_03,1,18.92,0,0,TRUE
ResolutionCache,nous,run_01,2,18.92,0,0,TRUE
ResolutionCache,nous,run_02,2,18.92,0,0,TRUE
ResolutionCache,nous,run_03,2,18.92,0,0,TRUE
ResolutionCache,vicuna,run_01,2,18.92,0,0,TRUE
ResolutionCache,vicuna,run_02,2,18.92,0,0,TRUE
ResolutionCache,vicuna,run_03,2,18.92,0,0,TRUE
ResolutionCache,wizlm,run_01,1,18.92,0,0,TRUE
ResolutionCache,wizlm,run_02,2,18.92,0,0,TRUE
ResolutionCache,wizlm,run_03,1,18.92,0,0,TRUE
Seekable,ocra,run_01,0,0,0,0,FALSE
Seekable,ocra,run_02,0,0,0,0,FALSE
Seekable,ocra,run_03,0,0,0,0,FALSE
Seekable,mpt,run_01,1,0,0,0,FALSE
Seekable,mpt,run_02,0,0,0,0,FALSE
Seekable,mpt,run_03,1,0,0,0,FALSE
Seekable,nous,run_01,2,0,0,0,FALSE
Seekable,nous,run_02,2,0,0,0,FALSE
Seekable,nous,run_03,2,0,0,0,FALSE
Seekable,vicuna,run_01,1,0,0,0,FALSE
Seekable,vicuna,run_02,1,0,0,0,FALSE
Seekable,vicuna,run_03,2,0,0,0,FALSE
Seekable,wizlm,run_01,1,0,0,0,FALSE
Seekable,wizlm,run_02,0,0,0,0,FALSE
Seekable,wizlm,run_03,0,0,0,0,FALSE
SeekableByteArrayOutputStream,ocra,run_01,1,31.25,31.25,100,TRUE
SeekableByteArrayOutputStream,ocra,run_02,1,25,12.5,33.33,TRUE
SeekableByteArrayOutputStream,ocra,run_03,0,0,0,0,FALSE
SeekableByteArrayOutputStream,mpt,run_01,1,37.5,0,0,TRUE
SeekableByteArrayOutputStream,mpt,run_02,0,0,0,0,FALSE
SeekableByteArrayOutputStream,mpt,run_03,0,0,0,0,FALSE
SeekableByteArrayOutputStream,nous,run_01,4,50,43.75,63.64,TRUE
SeekableByteArrayOutputStream,nous,run_02,7,100,93.75,93.75,TRUE
SeekableByteArrayOutputStream,nous,run_03,3,50,43.75,63.64,TRUE
SeekableByteArrayOutputStream,vicuna,run_01,1,31.25,31.25,100,TRUE
SeekableByteArrayOutputStream,vicuna,run_02,1,31.25,31.25,100,TRUE
SeekableByteArrayOutputStream,vicuna,run_03,1,31.25,31.25,100,TRUE
SeekableByteArrayOutputStream,wizlm,run_01,2,37.5,6.25,9.09,TRUE
SeekableByteArrayOutputStream,wizlm,run_02,2,31.25,31.25,100,TRUE
SeekableByteArrayOutputStream,wizlm,run_03,2,62.5,37.5,66.67,TRUE
ZeroCodeAssertionsProcessor,ocra,run_01,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,ocra,run_02,0,0,0,0,FALSE
ZeroCodeAssertionsProcessor,ocra,run_03,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,mpt,run_01,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,mpt,run_02,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,mpt,run_03,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,nous,run_01,0,0,0,0,FALSE
ZeroCodeAssertionsProcessor,nous,run_02,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,nous,run_03,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,vicuna,run_01,0,0,0,0,FALSE
ZeroCodeAssertionsProcessor,vicuna,run_02,0,0,0,0,FALSE
ZeroCodeAssertionsProcessor,vicuna,run_03,0,0,0,0,FALSE
ZeroCodeAssertionsProcessor,wizlm,run_01,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,wizlm,run_02,1,0,0,0,FALSE
ZeroCodeAssertionsProcessor,wizlm,run_03,1,0,0,0,FALSE
ZerocodeCorrelationshipLogger,ocra,run_01,0,0,0,0,FALSE
ZerocodeCorrelationshipLogger,ocra,run_02,0,0,0,0,FALSE
ZerocodeCorrelationshipLogger,ocra,run_03,1,3.45,4.76,50,TRUE
ZerocodeCorrelationshipLogger,mpt,run_01,2,56.9,9.52,22.22,TRUE
ZerocodeCorrelationshipLogger,mpt,run_02,1,51.72,9.52,28.57,TRUE
ZerocodeCorrelationshipLogger,mpt,run_03,0,0,0,0,FALSE
ZerocodeCorrelationshipLogger,nous,run_01,7,82.76,28.57,37.5,TRUE
ZerocodeCorrelationshipLogger,nous,run_02,5,82.76,23.81,29.41,TRUE
ZerocodeCorrelationshipLogger,nous,run_03,9,86.21,23.81,27.78,TRUE
ZerocodeCorrelationshipLogger,vicuna,run_01,0,0,0,0,FALSE
ZerocodeCorrelationshipLogger,vicuna,run_02,0,0,0,0,FALSE
ZerocodeCorrelationshipLogger,vicuna,run_03,0,0,0,0,FALSE
ZerocodeCorrelationshipLogger,wizlm,run_01,4,55.17,23.81,35.71,TRUE
ZerocodeCorrelationshipLogger,wizlm,run_02,4,50,33.33,58.33,TRUE
ZerocodeCorrelationshipLogger,wizlm,run_03,5,53.45,28.57,42.86,TRUE
